time,x_mm,y_mm,z_mm,u1,v1,u2,v2,r1,r2,a1,a2
2026-01-15T14:06:13,164.162,-94.876,380.194,964.491,707.566,72.068,685.723,0,0,1442,1310.5
2026-01-15T14:06:13,165.31,-101.918,382.666,978.677,691.561,65.3598,695.201,0,0,673,742.5
2026-01-15T14:06:13,164.111,-96.5235,372.263,970.76,701.317,73.0309,677.296,0,0,1583,377
2026-01-15T14:06:13,175.303,-97.6627,388.309,971.511,710.261,86.7802,693.272,0,0,1811.5,578.5
2026-01-15T14:06:13,168.753,-95.9128,374.611,974.936,705.787,78.6415,678.832,0,0,1857,351.5
2026-01-15T14:06:14,154.105,-92.7545,363.647,966.157,700.442,59.4793,668.929,0,0,1518.5,697.5
2026-01-15T14:06:14,175.613,-98.4353,392.773,968.638,710.306,86.8163,698.604,0,0,1823.5,763
2026-01-15T14:06:14,178.951,-101.868,398.723,967.14,707.204,92.0048,705.318,0,0,1993.5,590.5
2026-01-15T14:06:14,159.034,-93.5952,374.356,962.971,705.416,65.4845,679.911,0,0,1606,521.5
2026-01-15T14:06:14,153.596,-90.9879,362.908,965.919,703.699,58.6613,667.587,0,0,1631.5,559
2026-01-15T14:06:14,157.024,-98.8216,376.44,964.374,693.011,60.3316,685.985,0,0,904,280.5
2026-01-15T14:06:14,175.987,-99.6941,396.031,972.529,707.881,83.3911,704.708,0,0,1056.5,381
2026-01-15T14:06:15,165.331,-96.8115,383.597,961.776,705.68,74.5902,689.406,0,0,2003,695
2026-01-15T14:06:15,157.972,-93.4067,375.015,960.956,705.501,64.0958,680.765,0,0,2036,1042
2026-01-15T14:06:15,165.199,-95.0111,382.102,963.853,708.57,73.5473,687.563,0,0,1629,607.5
2026-01-15T14:06:15,145.964,-86.2071,363.7,963.189,707.575,43.2836,670.737,0,0,1551.5,355
2026-01-15T14:06:15,180.105,-106.475,409.288,961.16,702.223,93.2114,718.604,0,0,1932.5,462
